Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),CL/OL Fueling* (status),Primary Open Loop Map Enrichment* (estimated AFR),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
353356,15.16,0.12,784,0.00,0.00,16,14.10,20.50,5.08,3.22,-1.08,0.64,8,14.70,388,0.0
353575,15.73,0.12,791,0.00,0.00,16,14.10,19.50,5.08,3.27,-1.08,0.64,8,14.70,388,0.0
353809,16.08,0.12,796,0.00,0.00,16,14.10,17.50,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
354028,16.19,0.12,806,0.00,0.00,16,14.10,16.50,5.08,3.27,-1.08,0.64,8,14.70,388,0.0
354262,16.19,0.13,788,0.00,0.00,16,14.10,16.50,5.08,3.31,-1.08,0.64,8,14.70,388,0.0
354481,16.08,0.12,816,0.00,0.00,16,14.10,14.00,5.22,3.34,-1.08,0.64,8,14.70,388,0.0
354700,16.08,0.12,808,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
354934,16.08,0.12,804,0.00,0.00,16,14.10,15.50,5.08,3.31,-1.08,0.64,8,14.70,388,0.0
355153,15.85,0.12,818,0.00,0.00,16,14.10,13.00,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
355387,15.62,0.12,810,0.00,0.00,16,14.10,14.50,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
355606,15.62,0.12,814,0.00,0.00,16,14.10,13.00,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
355840,15.62,0.12,815,0.00,0.00,16,14.10,12.50,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
356059,15.39,0.12,814,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
356293,15.39,0.12,827,0.00,0.00,16,14.10,12.50,5.08,3.29,-1.08,0.64,8,14.70,388,0.0
356512,15.16,0.12,820,0.00,0.00,16,14.10,13.50,5.08,3.27,-1.08,0.64,8,14.70,388,0.0
356746,15.16,0.12,829,0.00,0.00,16,14.10,12.50,4.93,3.27,-1.08,0.64,8,14.70,388,0.0
356965,15.16,0.12,829,0.00,0.00,16,14.10,13.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
357199,15.04,0.12,816,0.00,0.00,16,14.10,14.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
357418,14.81,0.12,828,0.00,0.00,16,14.10,13.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
357637,14.81,0.12,834,0.00,0.00,16,14.10,12.50,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
357871,14.81,0.12,818,0.00,0.00,16,14.10,14.50,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
358090,14.81,0.12,828,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
358324,14.81,0.12,832,0.00,0.00,16,14.10,13.00,4.93,3.22,-1.08,0.64,8,14.70,388,0.0
358543,14.47,0.12,832,0.00,0.00,16,14.10,13.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
358777,14.36,0.12,831,0.00,0.00,16,14.10,13.50,4.79,3.23,-1.08,0.64,8,14.70,388,0.0
358996,14.36,0.12,829,0.00,0.00,16,14.10,14.00,4.79,3.22,-1.08,0.64,8,14.70,388,0.0
359230,14.47,0.12,827,0.00,0.00,16,14.10,14.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
359449,14.36,0.11,825,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
359684,14.36,0.11,828,0.00,0.00,16,14.10,13.50,4.79,3.17,-1.08,0.64,8,14.70,388,0.0
359902,14.47,0.12,821,0.00,0.00,16,14.10,14.50,4.79,3.19,-1.08,0.64,8,14.70,388,0.0
360121,14.36,0.12,810,0.00,0.00,16,14.10,15.00,4.79,3.19,-1.08,0.64,8,14.70,388,0.0
360355,14.47,0.12,826,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
360574,14.36,0.12,821,0.00,0.00,16,14.10,13.00,4.79,3.17,-1.08,0.64,8,14.70,388,0.0
360808,14.36,0.12,811,0.00,0.00,16,14.10,15.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
361026,14.36,0.12,820,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
361261,14.47,0.12,822,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
361479,14.47,0.12,819,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
361714,14.47,0.12,815,0.00,0.00,16,14.10,14.00,4.93,3.22,-1.08,0.64,8,14.70,388,0.0
361933,14.36,0.12,814,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
362151,14.59,0.12,818,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
362386,14.59,0.12,817,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
362604,14.59,0.12,810,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
362839,14.59,0.12,813,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
363073,14.59,0.12,806,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
363292,14.70,0.12,820,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
363526,14.59,0.12,812,0.00,0.00,16,14.10,13.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
363745,14.59,0.12,804,0.00,0.00,16,14.10,15.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
363979,14.59,0.12,820,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
364198,14.59,0.12,811,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
364417,14.70,0.12,821,0.00,0.00,16,14.10,13.50,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
364651,14.70,0.12,813,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
364870,14.47,0.12,810,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
365104,14.47,0.12,816,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
365323,14.59,0.12,804,0.00,0.00,16,14.10,14.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
365557,14.70,0.12,804,0.00,0.00,16,14.10,15.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
365776,14.59,0.12,808,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
366010,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
366229,14.70,0.12,812,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
366448,14.70,0.12,812,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
366682,14.59,0.12,811,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
366901,14.59,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
367135,14.70,0.12,804,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
367354,14.70,0.12,805,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,388,0.0
367588,14.59,0.12,804,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
367807,14.47,0.12,799,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
368041,14.70,0.12,797,0.00,0.00,16,14.10,15.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
368260,14.70,0.12,795,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
368495,14.81,0.12,800,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
368713,14.59,0.12,789,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
368948,14.70,0.12,792,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
369166,14.70,0.12,799,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
369401,14.70,0.12,804,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
369619,14.59,0.12,803,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
369854,14.70,0.12,809,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
370073,14.70,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
370307,14.59,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
370526,14.59,0.12,808,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
370760,14.59,0.12,796,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
370979,14.70,0.12,806,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
371213,14.59,0.12,796,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
371432,14.47,0.12,801,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
371666,14.59,0.12,790,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
371885,14.70,0.12,801,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
372104,14.70,0.12,790,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
372338,14.59,0.12,787,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
372557,14.70,0.12,792,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
372791,14.81,0.12,790,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
373010,14.81,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
373244,14.81,0.12,794,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
373463,14.81,0.12,799,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
373682,14.81,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,8,14.70,388,0.0
373916,14.59,0.12,802,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
374135,14.59,0.12,786,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,388,0.0
374369,14.81,0.12,808,0.00,0.00,16,14.10,12.50,5.08,3.16,-1.08,0.64,8,14.70,388,0.0
374588,14.70,0.12,796,0.00,0.00,16,14.10,13.50,5.08,3.16,-1.08,0.64,8,14.70,388,0.0
374822,14.70,0.12,796,0.00,0.00,16,14.10,14.00,5.08,3.16,-1.08,0.64,8,14.70,388,0.0
375041,14.81,0.12,805,0.00,0.00,16,14.10,13.00,5.08,3.19,-1.08,0.64,8,14.70,388,0.0
375275,15.04,0.12,805,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.08,0.68,8,14.70,388,0.0
375494,15.39,0.21,894,0.00,0.00,16,16.91,15.00,6.09,5.81,-1.08,0.76,8,14.70,388,0.0
375713,14.93,0.25,1113,0.00,0.00,16,26.41,23.50,7.84,9.39,-1.08,0.80,8,14.70,388,0.0
375947,12.29,0.29,1293,0.00,0.00,16,29.22,29.00,8.42,11.40,-1.39,0.86,8,14.70,388,0.0
376181,14.70,0.31,1344,0.00,0.00,16,29.57,28.50,9.29,14.15,-1.39,0.90,8,14.70,388,0.0
376400,15.62,0.34,1424,0.00,0.00,16,30.98,30.50,10.30,15.92,-1.39,0.96,8,14.70,388,0.6
376634,15.16,0.34,1464,0.00,0.00,16,32.03,31.50,10.74,17.03,-1.39,0.96,8,14.70,388,0.0
376853,15.27,0.36,1504,0.00,0.00,16,32.73,32.50,11.17,17.64,-0.77,1.00,8,14.70,388,0.0
377088,15.39,0.36,1524,0.00,0.00,16,32.73,33.00,11.32,18.02,-0.77,1.00,8,14.70,388,0.0
377306,15.27,0.38,1459,0.00,0.00,16,29.57,29.00,11.61,18.65,-0.77,1.00,8,14.70,388,0.0
377525,15.04,0.40,1369,0.00,0.00,16,26.05,24.50,12.04,17.64,-0.77,1.00,8,14.70,388,0.0
377759,14.47,0.36,1557,0.00,0.00,16,34.49,32.50,11.75,18.65,-0.77,1.00,8,14.70,388,0.0
377978,15.50,0.35,1792,0.00,0.00,16,37.30,36.50,11.17,20.23,-0.77,1.00,8,14.70,388,0.0
378212,15.39,0.33,1966,0.00,0.00,16,39.41,38.00,10.74,20.92,-0.15,1.00,8,14.70,388,0.0
378431,15.04,0.31,2090,0.00,0.00,16,41.17,40.00,10.01,20.57,-0.77,0.98,8,14.67,388,0.0
378666,15.16,0.25,2221,0.00,0.00,16,42.23,42.00,9.14,18.49,-2.32,0.90,10,14.61,388,0.0
378884,15.96,0.23,2349,0.00,0.00,16,43.28,42.50,7.84,17.63,-2.63,0.86,10,14.51,388,0.0
379103,13.67,0.18,2405,0.00,0.00,16,30.27,35.00,6.67,13.52,-2.63,0.80,10,14.59,388,-0.6
379338,13.21,0.16,2399,0.00,0.00,16,17.62,17.50,5.80,12.64,-2.94,0.78,10,14.59,388,-0.6
379556,13.78,0.15,2366,0.00,0.00,16,11.64,10.50,5.37,11.71,-2.94,0.76,10,14.48,388,0.0
379791,13.67,0.13,2327,0.00,0.00,16,8.12,10.50,4.93,9.88,-2.63,0.74,10,14.52,388,0.0
380009,13.90,0.13,2300,0.00,0.00,16,10.23,9.00,4.64,9.88,-2.63,0.74,10,14.54,388,0.0
380259,13.78,0.12,2241,0.00,0.00,16,9.53,10.00,4.64,9.00,-2.32,0.74,10,14.56,388,0.0
380478,13.67,0.12,2183,0.00,0.00,16,15.16,15.00,4.50,8.60,-2.32,0.74,10,14.59,388,0.0
380712,13.90,0.13,2150,0.00,0.00,16,19.02,20.00,4.64,9.04,-2.32,0.76,10,14.61,388,0.0
380930,13.32,0.13,2102,0.00,0.00,16,23.95,23.50,4.79,9.35,-2.01,0.78,10,14.63,388,0.0
381164,13.32,0.13,2104,0.00,0.00,16,24.30,25.00,5.08,9.22,-2.01,0.78,10,14.63,388,0.0
381383,13.55,0.14,2072,0.00,0.00,16,28.52,28.50,5.22,9.79,-1.70,0.80,10,14.65,388,0.0
381618,13.55,0.14,2078,0.00,0.00,16,29.57,28.50,5.22,9.93,-1.70,0.80,10,14.66,388,0.0
381836,13.78,0.15,2071,0.00,0.00,16,30.27,29.50,5.37,10.08,-1.70,0.80,10,14.66,388,0.0
382071,14.13,0.15,2082,0.00,0.00,16,29.57,28.50,5.37,10.27,-1.70,0.80,10,14.65,388,0.0
382289,14.24,0.15,2081,0.00,0.00,16,29.57,29.50,5.51,10.28,-1.70,0.80,10,14.65,388,0.0
382508,14.24,0.15,2095,0.00,0.00,16,28.87,27.50,5.37,10.38,-2.01,0.80,10,14.64,388,0.0
382742,14.13,0.15,2108,0.00,0.00,16,28.16,27.00,5.37,10.27,-2.01,0.80,10,14.63,388,0.0
382961,14.13,0.15,2116,0.00,0.00,16,27.46,28.00,5.37,10.48,-2.01,0.80,10,14.63,388,0.0
383196,14.24,0.20,2143,0.00,0.00,16,39.77,33.00,6.24,14.28,-2.01,0.88,10,14.61,388,0.6
383414,13.32,0.22,2204,0.00,0.00,16,40.82,40.00,7.25,16.36,-2.01,0.88,10,14.59,388,0.0
383649,13.90,0.19,2241,0.00,0.00,16,37.66,41.00,7.11,11.20,-2.32,0.74,10,14.56,388,-0.6
383868,12.63,0.12,2222,0.00,0.00,16,11.99,14.00,4.64,7.46,-2.32,0.70,10,14.58,388,0.0
384102,12.52,0.10,2204,0.00,0.00,16,9.53,9.00,4.06,7.29,-2.32,0.70,10,14.58,388,0.0
384321,13.78,0.10,2132,0.00,0.00,16,18.67,17.50,4.06,7.29,-2.01,0.70,10,14.63,388,-0.6
384555,13.44,0.10,2082,0.00,0.00,16,23.95,22.50,3.92,7.14,-1.70,0.70,10,14.65,388,0.0
384774,12.86,0.10,2052,0.00,0.00,16,26.05,26.50,3.77,6.92,-1.70,0.70,10,14.66,388,0.0
384992,12.63,0.10,2005,0.00,0.00,16,30.62,30.00,3.77,6.66,-1.70,0.70,8,14.70,388,0.0
385227,12.40,0.10,1972,0.00,0.00,16,32.03,32.00,3.63,6.40,-1.39,0.70,8,14.70,388,0.0
385446,12.40,0.14,1947,0.00,0.00,16,33.44,32.00,3.92,8.11,-1.39,0.80,8,14.70,388,0.6
385680,14.01,0.18,1953,0.00,0.00,16,35.90,35.50,5.51,11.82,-1.39,0.84,8,14.70,388,0.0
385899,14.81,0.19,1956,0.00,0.00,16,36.60,35.50,6.38,12.26,-1.39,0.84,8,14.70,388,0.0
386133,17.11,0.20,1936,0.00,0.00,16,36.25,35.50,6.53,12.47,-1.39,0.84,8,14.70,388,0.0
386352,16.31,0.19,2018,0.00,0.00,16,37.30,36.50,6.67,13.01,-1.70,0.86,8,14.70,388,0.0
386586,15.27,0.21,2069,0.00,0.00,16,39.06,38.00,6.96,14.09,-1.70,0.88,10,14.66,388,0.0
386805,15.50,0.23,2132,0.00,0.00,16,40.12,40.00,7.55,16.44,-2.01,0.90,10,14.63,388,0.0
387024,14.93,0.25,2219,0.00,0.00,16,42.23,41.00,7.84,17.71,-2.32,0.92,10,14.70,388,0.0
387258,14.24,0.26,2296,0.00,0.00,16,43.63,42.50,8.13,19.81,-2.32,0.92,10,14.56,388,0.0
387492,14.24,0.26,2436,0.00,0.00,16,45.39,44.50,8.27,20.67,-2.94,0.92,10,14.52,388,-0.6
387711,14.59,0.26,2506,0.00,0.00,16,45.04,44.50,8.27,21.89,-3.25,0.92,10,14.51,388,0.0
387930,14.47,0.25,2610,0.00,0.00,16,44.34,44.00,7.98,21.98,-3.56,0.90,10,14.50,388,0.0
388164,14.47,0.23,2696,0.00,0.00,16,44.34,43.50,7.69,21.27,-3.87,0.90,10,14.48,388,0.0
388383,14.36,0.23,2770,0.00,0.00,16,44.34,43.50,7.40,21.54,-4.18,0.90,10,14.47,388,0.0
388617,14.24,0.22,2867,0.00,0.00,16,44.34,43.50,7.25,21.27,-4.18,0.86,10,14.47,388,-0.6
388836,13.21,0.12,2741,0.00,0.00,16,-8.05,-6.50,4.50,9.39,-3.87,0.64,10,14.47,388,0.0
389070,13.21,0.14,2349,0.00,0.00,16,1.09,-10.50,3.92,10.64,-3.25,0.64,10,14.50,388,0.0
389289,18.83,0.10,2034,0.00,0.00,16,14.10,14.00,3.92,7.14,-1.70,0.64,10,14.70,388,0.0
389523,23.89,0.13,1613,0.00,0.00,16,14.10,14.00,3.77,7.10,-1.39,0.64,10,14.70,388,0.0
389742,23.77,0.14,1376,0.00,0.00,16,14.10,14.00,4.06,6.48,-1.39,0.64,10,14.70,388,0.0
389976,23.77,0.15,1289,0.00,0.00,16,14.10,20.00,4.50,6.33,-1.39,0.64,10,14.70,388,0.0
390195,23.54,0.12,1291,0.00,0.00,16,14.10,16.50,4.06,5.30,-1.39,0.64,10,14.70,388,0.0
390414,23.31,0.12,1284,0.00,0.00,16,14.10,16.50,3.92,5.17,-1.39,0.68,10,14.70,388,0.6
390648,12.06,0.17,1267,0.00,0.00,16,16.91,15.50,4.50,7.21,-1.39,0.74,8,14.70,388,0.0
390867,11.37,0.18,1443,0.00,0.00,16,26.05,23.00,5.95,8.82,-1.39,0.80,8,14.70,388,0.0
391101,11.94,0.19,1618,0.00,0.00,16,29.57,29.50,6.24,9.84,-1.39,0.80,8,14.70,388,0.0
391320,16.54,0.21,1562,0.00,0.00,16,28.87,28.50,6.67,10.79,-1.39,0.84,8,14.70,388,0.6
391554,17.11,0.25,1605,0.00,0.00,16,29.92,29.50,7.55,13.02,-1.39,0.86,8,14.70,388,0.0
391773,14.81,0.24,1642,0.00,0.00,16,29.92,29.50,7.98,12.85,-1.39,0.86,8,14.70,388,0.0
392007,15.85,0.24,1647,0.00,0.00,16,30.98,30.50,7.98,13.39,-1.39,0.86,8,14.70,388,0.0
392226,15.73,0.24,1701,0.00,0.00,16,32.03,31.00,7.98,13.65,-1.39,0.86,8,14.70,388,0.0
392445,15.73,0.24,1710,0.00,0.00,16,32.03,31.50,7.84,13.45,-1.39,0.84,8,14.70,388,-0.6
392679,15.39,0.21,1726,0.00,0.00,16,32.03,31.00,7.25,11.30,-1.39,0.80,8,14.70,388,0.0
392898,14.81,0.15,1705,0.00,0.00,16,30.27,29.50,5.51,6.95,-1.39,0.74,8,14.70,388,0.0
393132,13.67,0.12,1703,0.00,0.00,16,28.87,28.50,4.79,6.81,-1.39,0.70,8,14.70,388,-0.6
393351,13.90,0.11,1682,0.00,0.00,16,28.16,27.00,3.92,6.18,-1.39,0.70,8,14.70,388,-0.6
393585,14.59,0.12,1686,0.00,0.00,16,28.52,28.00,3.77,6.92,-1.39,0.70,8,14.70,388,0.0
393804,14.13,0.12,1634,0.00,0.00,16,27.81,27.00,3.63,6.66,-1.39,0.70,8,14.70,388,0.0
394039,13.32,0.12,1628,0.00,0.00,16,27.81,27.00,3.77,6.73,-1.39,0.70,8,14.70,388,0.0
394257,12.52,0.12,1598,0.00,0.00,16,27.11,27.00,3.77,6.59,-1.39,0.70,8,14.70,388,0.0
394492,12.75,0.13,1578,0.00,0.00,16,27.11,26.00,3.92,6.55,-1.39,0.70,8,14.70,388,0.0
394710,13.90,0.13,1542,0.00,0.00,16,26.41,26.00,3.92,6.55,-1.39,0.70,8,14.70,388,0.0
394945,14.81,0.12,1540,0.00,0.00,16,26.05,25.50,4.06,6.22,-1.39,0.70,8,14.70,388,0.0
395164,15.62,0.12,1504,0.00,0.00,16,26.05,25.00,4.21,6.22,-1.39,0.70,8,14.70,388,0.0
395382,16.08,0.13,1474,0.00,0.00,16,25.70,25.00,4.35,6.29,-1.39,0.70,8,14.70,388,0.0
395617,17.11,0.13,1441,0.00,0.00,16,25.00,25.00,4.50,6.37,-1.39,0.72,8,14.70,388,0.6
395835,16.31,0.14,1410,0.00,0.00,16,24.65,24.00,4.79,6.40,-1.39,0.72,8,14.70,388,0.0
396070,16.54,0.15,1418,0.00,0.00,16,25.35,25.00,5.08,6.99,-1.39,0.74,8,14.70,388,0.0
396289,16.54,0.16,1422,0.00,0.00,16,25.00,24.00,5.37,7.41,-1.39,0.76,8,14.70,388,0.0
396523,16.31,0.17,1404,0.00,0.00,16,25.00,24.50,5.66,7.90,-1.39,0.76,8,14.70,388,0.0
396742,16.19,0.17,1398,0.00,0.00,16,25.00,24.50,5.95,8.11,-1.39,0.76,8,14.70,388,0.0
396960,15.73,0.18,1394,0.00,0.00,16,25.00,24.50,6.09,8.23,-1.39,0.76,8,14.70,388,0.0
397195,15.73,0.18,1378,0.00,0.00,16,25.00,25.00,6.24,8.23,-1.39,0.78,8,14.70,388,0.0
397413,15.85,0.18,1394,0.00,0.00,16,24.65,25.00,6.38,8.52,-1.39,0.78,8,14.70,388,0.0
397648,15.73,0.19,1391,0.00,0.00,16,25.00,24.50,6.38,8.39,-1.39,0.78,8,14.70,388,0.0
397867,15.62,0.19,1381,0.00,0.00,16,25.00,24.50,6.53,8.56,-1.39,0.78,8,14.70,388,0.0
398101,15.73,0.19,1406,0.00,0.00,16,25.35,25.00,6.53,9.09,-1.39,0.78,8,14.70,388,0.0
398320,15.39,0.18,1401,0.00,0.00,16,25.35,25.00,6.53,8.52,-1.39,0.78,8,14.70,388,0.0
398554,15.16,0.18,1398,0.00,0.00,16,25.35,25.00,6.38,8.44,-1.39,0.76,8,14.70,388,0.0
398773,15.50,0.17,1401,0.00,0.00,16,25.00,25.00,6.38,6.92,-1.39,0.74,8,14.70,388,0.0
399007,15.50,0.15,1383,0.00,0.00,16,24.30,23.50,5.95,7.06,-1.39,0.74,8,14.70,388,0.0
399226,15.73,0.15,1397,0.00,0.00,16,24.65,24.50,5.66,7.17,-1.39,0.74,8,14.70,388,0.0
399460,15.62,0.15,1401,0.00,0.00,16,25.00,24.00,5.66,6.95,-1.39,0.74,8,14.70,388,0.0
399679,15.16,0.15,1397,0.00,0.00,16,24.65,24.00,5.66,6.99,-1.39,0.74,8,14.70,388,0.0
399898,14.93,0.15,1407,0.00,0.00,16,24.65,24.50,5.66,6.92,-1.39,0.74,8,14.70,388,0.0
400132,14.81,0.15,1400,0.00,0.00,16,24.65,24.00,5.66,6.77,-1.39,0.74,8,14.70,388,0.0
400351,14.81,0.15,1388,0.00,0.00,16,24.65,24.00,5.66,7.06,-1.39,0.74,8,14.70,388,0.0
400585,14.81,0.15,1380,0.00,0.00,16,24.30,24.00,5.66,6.88,-1.39,0.74,8,14.70,388,0.0
400804,14.24,0.15,1369,0.00,0.00,16,24.30,24.00,5.66,6.92,-1.39,0.74,8,14.70,388,0.0
401043,14.24,0.16,1376,0.00,0.00,16,24.65,23.50,5.66,7.17,-1.39,0.74,8,14.70,388,0.0
404125,11.14,0.12,1100,0.00,0.00,16,14.10,21.50,4.21,4.35,-1.08,0.64,8,14.70,388,0.0
404344,11.25,0.11,1087,0.00,0.00,16,14.10,21.00,4.06,3.85,-1.08,0.64,8,14.70,388,0.0
404578,11.25,0.11,1062,0.00,0.00,16,14.10,22.00,4.06,3.99,-1.08,0.64,8,14.70,388,0.0
404797,11.60,0.11,1043,0.00,0.00,16,14.10,20.50,4.06,3.99,-1.08,0.64,8,14.70,388,0.0
405031,11.94,0.12,1016,0.00,0.00,16,14.10,22.00,4.06,3.93,-1.08,0.64,8,14.70,388,0.0
405250,12.40,0.12,975,0.00,0.00,16,14.10,22.00,4.21,3.88,-1.08,0.64,8,14.70,388,0.0
405469,12.63,0.12,958,0.00,0.00,16,14.10,22.00,4.35,3.72,-1.08,0.64,8,14.70,388,0.0
405703,12.86,0.11,921,0.00,0.00,16,14.10,22.00,4.35,3.58,-1.08,0.64,8,14.70,388,0.0
405922,12.98,0.12,882,0.00,0.00,16,14.10,22.00,4.50,3.45,-1.08,0.64,8,14.70,388,0.0
406156,13.09,0.12,869,0.00,0.00,16,14.10,22.00,4.50,3.40,-1.08,0.64,8,14.70,388,0.0
406375,13.32,0.12,848,0.00,0.00,16,14.10,22.00,4.64,3.31,-1.08,0.64,8,14.70,388,0.0
406609,13.90,0.12,820,0.00,0.00,16,14.10,22.00,4.79,3.29,-1.08,0.64,8,14.70,388,0.0
406828,14.47,0.12,819,0.00,0.00,16,14.10,22.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
407063,14.81,0.12,816,0.00,0.00,16,14.10,22.00,4.93,3.22,-1.08,0.64,8,14.70,388,0.0
