Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Defogger Switch (On/Off)
984578,-3.91,-2.34,12.52,8,0.27,1030,0.00,0.00,16,14.69,9.88,17.50,0.66,3.92,4.48,1.36,0.00,-10.64,1
984650,-4.69,-2.34,12.40,8,0.27,991,0.00,0.00,16,14.69,9.88,17.50,0.66,4.21,4.43,1.34,0.00,-10.52,1
984718,-5.47,-2.34,12.17,8,0.26,974,0.00,0.00,16,14.69,9.88,17.50,0.66,4.21,4.21,1.32,0.00,-10.42,1
984798,-6.25,-2.34,12.06,8,0.25,948,0.00,0.00,16,14.69,9.88,17.50,0.66,4.35,3.91,1.30,0.00,-10.29,1
984870,-6.25,-2.34,11.83,8,0.23,939,0.00,0.00,16,14.69,9.88,17.50,0.66,4.50,3.75,1.28,0.00,-10.21,1
984942,-7.03,-2.34,11.60,8,0.23,933,0.00,0.00,16,14.69,9.88,17.50,0.66,4.50,3.58,1.26,0.00,-10.19,1
985014,-7.81,-2.34,11.48,8,0.22,930,0.00,0.00,16,14.70,9.88,17.50,0.66,4.50,3.47,1.26,0.00,-10.15,1
985086,-8.59,-2.34,11.37,8,0.22,924,0.00,0.00,16,14.70,9.88,17.50,0.66,4.50,3.42,1.24,0.00,-10.13,1
985161,-9.38,-2.34,11.37,8,0.23,922,0.00,0.00,16,14.70,9.88,17.50,0.66,4.50,3.40,1.24,0.00,-10.15,1
985232,-9.38,-2.34,11.37,8,0.23,900,0.00,0.00,16,14.70,9.88,17.50,0.66,4.50,3.40,1.24,0.00,-10.13,1
985304,-10.16,-2.34,11.37,8,0.24,869,0.00,0.00,16,14.69,9.88,17.50,0.66,4.50,3.45,1.24,0.00,-10.13,1
985387,-10.16,-2.34,11.48,8,0.24,878,0.00,0.00,16,14.69,9.88,17.50,0.66,4.64,3.45,1.24,0.00,-10.07,1
985447,-10.94,-2.34,11.48,8,0.24,876,0.00,0.00,16,14.69,9.88,17.50,0.66,4.64,3.45,1.24,0.00,-10.06,1
985527,-10.94,-2.34,11.71,8,0.23,869,0.00,0.00,16,14.69,9.88,17.50,0.66,4.64,3.36,1.24,0.00,-10.02,1
985599,-10.94,-2.34,12.06,8,0.24,860,0.00,0.00,16,14.69,9.88,17.50,0.66,4.64,3.36,1.26,0.00,-10.00,1
985671,-10.94,-2.34,12.29,8,0.24,848,0.00,0.00,16,14.69,9.88,17.50,0.66,4.79,3.36,1.24,0.00,-9.94,1
985743,-10.94,-2.34,12.75,8,0.25,830,0.00,0.00,16,14.69,9.88,17.50,0.66,4.79,3.36,1.24,0.00,-9.90,1
985815,-10.94,-2.34,12.98,8,0.25,820,0.00,0.00,16,14.69,9.88,17.50,0.66,4.79,3.33,1.24,0.00,-9.82,1
985889,-10.94,-2.34,13.21,8,0.25,812,0.00,0.00,16,14.69,9.88,17.50,0.66,4.93,3.36,1.26,0.00,-14.70,1
985961,-10.16,-2.34,13.67,8,0.25,805,0.00,0.00,16,14.69,9.88,17.50,0.66,4.93,3.31,1.24,0.00,-9.73,1
986033,-10.16,-2.34,14.01,8,0.25,786,0.00,0.00,16,14.69,9.88,17.50,0.66,4.93,3.23,1.24,0.00,-9.73,1
986105,-9.38,-2.34,14.24,8,0.25,790,0.00,0.00,16,14.69,9.88,17.50,0.66,5.08,3.23,1.24,0.00,-9.65,1
986185,-9.38,-2.34,14.59,8,0.26,786,0.00,0.00,16,14.69,9.88,17.50,0.66,5.08,3.28,1.26,0.00,-9.65,1
986257,-9.38,-2.34,14.81,8,0.26,772,0.00,0.00,16,14.69,9.88,17.50,0.66,5.08,3.31,1.24,0.00,-9.59,1
986329,-9.38,-2.34,14.93,8,0.26,774,0.00,0.00,16,14.69,9.88,17.50,0.66,5.08,3.36,1.26,0.00,-9.57,1
986401,-8.59,-2.34,15.04,8,0.26,767,0.00,0.00,16,14.69,9.88,17.50,0.66,5.22,3.38,1.26,0.00,-9.53,1
986473,-8.59,-2.34,15.16,8,0.26,780,0.00,0.00,16,14.69,9.88,17.50,0.66,5.22,3.36,1.24,0.00,-9.51,1
986545,-8.59,-1.56,15.16,8,0.26,778,0.00,0.00,16,14.69,9.88,17.50,0.66,5.22,3.36,1.26,0.00,-9.46,1
986621,-8.59,-1.56,15.27,8,0.26,794,0.00,0.00,16,14.69,9.88,16.50,0.66,5.22,3.38,1.26,0.00,-9.48,1
986695,-8.59,-1.56,15.16,8,0.25,797,0.00,0.00,16,14.69,9.88,16.00,0.66,5.22,3.36,1.24,0.00,-9.46,1
986767,-8.59,-1.56,15.39,8,0.25,810,0.00,0.00,16,14.69,9.88,15.50,0.66,5.22,3.33,1.24,0.00,-9.51,1
986839,-7.81,0.78,15.50,8,0.25,794,0.00,0.00,16,14.69,9.88,15.50,0.66,5.22,3.31,1.26,0.00,-9.49,1
986911,-7.81,0.78,15.50,8,0.25,798,0.00,0.00,16,14.69,9.88,15.00,0.66,5.22,3.31,1.26,0.00,-9.51,1
986983,-7.81,0.78,15.50,8,0.26,778,0.00,0.00,16,14.69,9.88,16.50,0.66,5.22,3.33,1.24,0.00,-9.49,1
987059,-7.81,0.78,15.62,8,0.26,776,0.00,0.00,16,14.69,9.88,16.50,0.66,5.22,3.36,1.26,0.00,-9.48,1
987132,-7.03,0.78,15.50,8,0.26,786,0.00,0.00,16,14.69,9.88,14.00,0.66,5.22,3.40,1.26,0.00,-9.46,1
987204,-7.03,0.78,15.73,8,0.25,806,0.00,0.00,16,14.69,9.88,12.50,0.66,5.22,3.42,1.24,0.00,-9.46,1
987281,-7.03,0.78,15.62,8,0.25,802,0.00,0.00,16,14.69,9.88,13.00,0.66,5.22,3.40,1.26,0.00,-9.44,1
987354,-7.03,0.78,15.62,8,0.25,812,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.40,1.26,0.00,-9.46,1
987425,-7.03,0.78,15.50,8,0.25,808,0.00,0.00,16,14.70,9.88,11.50,0.66,5.22,3.36,1.26,0.00,-9.46,1
987497,-7.03,0.78,15.62,8,0.25,808,0.00,0.00,16,14.70,9.88,11.50,0.66,5.22,3.36,1.24,0.00,-9.49,1
987569,-6.25,0.78,15.50,8,0.25,810,0.00,0.00,16,14.70,9.88,11.50,0.66,5.22,3.36,1.26,0.00,-9.48,1
987645,-6.25,0.78,15.62,8,0.25,804,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.38,1.26,0.00,-9.49,1
987721,-6.25,0.78,15.50,8,0.25,804,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.38,1.24,0.00,-9.48,1
987785,-6.25,0.78,15.62,8,0.25,803,0.00,0.00,16,14.69,9.88,11.00,0.66,5.22,3.40,1.24,0.00,-9.46,1
987857,-6.25,0.78,15.50,8,0.26,795,0.00,0.00,16,14.69,9.88,12.00,0.66,5.22,3.40,1.26,0.00,-9.46,1
987933,-6.25,0.78,15.62,8,0.26,800,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.40,1.26,0.00,-9.46,1
988009,-5.47,0.78,15.50,8,0.26,791,0.00,0.00,16,14.70,9.88,12.50,0.66,5.22,3.38,1.24,0.00,-9.46,1
988081,-5.47,0.78,15.39,8,0.26,801,0.00,0.00,16,14.70,9.88,11.00,0.66,5.22,3.38,1.24,0.00,-9.46,1
988153,-6.25,0.78,15.27,8,0.26,804,0.00,0.00,16,14.70,9.88,10.50,0.66,5.22,3.38,1.26,0.00,-9.46,1
988225,-5.47,0.78,15.39,8,0.25,807,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.40,1.24,0.00,-9.46,1
988300,-6.25,0.78,15.27,8,0.26,807,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.40,1.24,0.00,-9.46,1
988370,-5.47,0.78,15.27,8,0.25,800,0.00,0.00,16,14.70,9.88,10.50,0.66,5.22,3.38,1.26,0.00,-9.46,1
988450,-5.47,0.78,15.27,8,0.26,804,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.40,1.26,0.00,-9.48,1
988516,-5.47,0.78,15.27,8,0.26,784,0.00,0.00,16,14.69,9.88,12.00,0.66,5.22,3.40,1.24,0.00,-9.44,1
988592,-5.47,0.78,15.39,8,0.26,786,0.00,0.00,16,14.69,9.88,12.00,0.66,5.22,3.40,1.26,0.00,-9.46,1
988664,-5.47,0.78,15.16,8,0.26,784,0.00,0.00,16,14.69,9.88,11.50,0.66,5.22,3.42,1.28,0.00,-9.40,1
988736,-5.47,0.78,15.27,8,0.26,795,0.00,0.00,16,14.69,9.88,10.50,0.66,5.37,3.47,1.26,0.00,-9.42,1
988818,-4.69,0.78,15.27,8,0.26,808,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.45,1.24,0.00,-9.38,1
988883,-5.47,0.78,15.16,8,0.26,808,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.26,0.00,-9.40,1
988955,-5.47,0.78,15.04,8,0.26,792,0.00,0.00,16,14.70,9.88,11.00,0.66,5.37,3.45,1.26,0.00,-9.40,1
989027,-5.47,0.78,14.93,8,0.26,798,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.45,1.24,0.00,-9.42,1
989107,-5.47,0.78,14.81,8,0.26,806,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.26,0.00,-9.40,1
989179,-5.47,0.78,14.81,8,0.25,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.22,3.45,1.26,0.00,-9.44,1
989251,-5.47,0.78,14.81,8,0.25,811,0.00,0.00,16,14.70,9.88,8.50,0.66,5.22,3.40,1.26,0.00,-9.42,1
989323,-5.47,0.78,14.81,8,0.25,810,0.00,0.00,16,14.70,9.88,9.00,0.66,5.22,3.40,1.24,0.00,-9.46,1
989396,-5.47,0.78,14.81,8,0.25,800,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.45,1.26,0.00,-9.42,1
989469,-5.47,0.78,14.81,8,0.26,803,0.00,0.00,16,14.70,9.88,9.50,0.66,5.22,3.45,1.28,0.00,-9.46,1
989540,-5.47,0.78,14.81,8,0.26,795,0.00,0.00,16,14.70,9.88,10.50,0.66,5.22,3.45,1.24,0.00,-9.42,1
989613,-5.47,0.78,14.81,8,0.26,799,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.45,1.26,0.00,-9.44,1
989691,-5.47,0.78,14.81,8,0.26,804,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.28,0.00,-9.40,1
989763,-5.47,0.78,14.81,8,0.26,805,0.00,0.00,16,14.70,9.88,9.50,0.66,5.22,3.45,1.26,0.00,-9.42,1
989835,-5.47,0.78,14.81,8,0.25,804,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.40,1.24,0.00,-9.40,1
989907,-5.47,0.78,14.81,8,0.25,803,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.40,1.26,0.00,-9.42,1
989979,-5.47,0.78,14.70,8,0.26,792,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.28,0.00,-9.44,1
990051,-5.47,0.78,14.70,8,0.26,799,0.00,0.00,16,14.70,9.88,10.00,0.66,5.22,3.45,1.26,0.00,-9.40,1
990127,-5.47,0.78,14.59,8,0.26,796,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.26,0.00,-9.40,1
990199,-5.47,0.78,14.70,8,0.26,808,0.00,0.00,16,14.70,9.88,9.00,0.66,5.22,3.45,1.28,0.00,-9.42,1
990271,-5.47,0.78,14.59,8,0.26,815,0.00,0.00,16,14.70,9.88,8.00,0.66,5.22,3.42,1.26,0.00,-9.44,1
990343,-5.47,0.78,14.70,8,0.25,811,0.00,0.00,16,14.70,9.88,9.50,0.66,5.22,3.42,1.24,0.00,-9.44,1
990415,-5.47,0.78,14.70,8,0.26,790,0.00,0.00,16,14.70,9.88,11.00,0.66,5.22,3.42,1.26,0.00,-9.44,1
990488,-5.47,0.78,14.81,8,0.26,788,0.00,0.00,16,14.70,9.88,11.00,0.66,5.22,3.45,1.28,0.00,-9.44,1
990562,-5.47,0.78,14.81,8,0.26,780,0.00,0.00,16,14.70,9.88,11.50,0.66,5.22,3.45,1.26,0.00,-9.40,1
990638,-5.47,0.78,14.81,8,0.26,793,0.00,0.00,16,14.70,9.88,11.00,0.66,5.37,3.45,1.24,0.00,-9.38,1
990710,-5.47,0.78,14.81,8,0.26,793,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
990782,-5.47,0.78,14.81,8,0.26,792,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
990854,-5.47,0.78,14.81,8,0.26,797,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
990926,-5.47,0.78,14.81,8,0.26,786,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.47,1.28,0.00,-9.36,1
990999,-5.47,0.78,14.70,8,0.27,791,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.47,1.28,0.00,-9.36,1
991073,-5.47,0.78,14.70,8,0.26,794,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.34,1
991151,-5.47,0.78,14.81,8,0.26,802,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
991213,-5.47,0.78,14.70,8,0.26,806,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.28,0.00,-9.34,1
991291,-5.47,0.78,14.81,8,0.26,810,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
991369,-5.47,0.78,14.81,8,0.26,801,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.34,1
991432,-5.47,0.78,14.81,8,0.26,802,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
991510,-4.69,0.78,14.81,8,0.26,793,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
991588,-5.47,0.78,14.93,8,0.26,804,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
991651,-4.69,0.78,14.81,8,0.26,812,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
991729,-4.69,0.78,14.93,8,0.26,812,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.28,0.00,-9.38,1
991807,-4.69,0.78,14.81,8,0.26,804,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
991869,-4.69,0.78,14.93,8,0.26,798,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.38,1
991948,-4.69,0.78,14.81,8,0.26,790,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.52,1.26,0.00,-9.36,1
992024,-4.69,0.78,14.81,8,0.26,798,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.28,0.00,-9.36,1
992097,-4.69,0.78,14.93,8,0.26,800,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.36,1
992169,-4.69,0.78,14.93,8,0.26,810,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.45,1.26,0.00,-9.36,1
992241,-4.69,0.78,14.93,8,0.27,805,0.00,0.00,16,14.70,9.88,11.50,0.66,5.37,3.52,1.28,0.00,-9.34,1
992313,-4.69,0.78,15.04,8,0.27,798,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.52,1.28,0.00,-9.34,1
992393,-4.69,0.78,14.81,8,0.27,804,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.52,1.26,0.00,-9.34,1
992465,-4.69,0.78,14.81,8,0.26,809,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.52,1.26,0.00,-9.34,1
992537,-4.69,0.78,14.81,8,0.26,800,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.28,0.00,-9.34,1
992609,-4.69,0.78,14.70,8,0.26,807,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.28,0.00,-9.34,1
992682,-4.69,0.78,14.59,8,0.26,802,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
992754,-5.47,0.78,14.70,8,0.26,810,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.28,0.00,-9.36,1
992826,-4.69,0.78,14.59,8,0.26,810,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.28,0.00,-9.36,1
992898,-5.47,0.78,14.59,8,0.26,808,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
992978,-4.69,0.78,14.59,8,0.26,804,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.52,1.26,0.00,-9.36,1
993046,-4.69,0.78,14.59,8,0.26,805,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.52,1.28,0.00,-9.36,1
993118,-4.69,0.78,14.70,8,0.26,799,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.52,1.28,0.00,-9.34,1
993190,-4.69,0.78,14.70,8,0.26,805,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.52,1.26,0.00,-9.36,1
993270,-4.69,0.78,14.70,8,0.26,804,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.34,1
993334,-4.69,0.78,14.81,8,0.26,810,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
993412,-4.69,0.78,14.70,8,0.26,818,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.52,1.28,0.00,-9.36,1
993488,-4.69,0.78,14.81,8,0.26,808,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.52,1.26,0.00,-9.36,1
993558,-4.69,0.78,14.70,8,0.26,815,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
993634,-4.69,0.78,14.70,8,0.26,819,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.28,0.00,-9.38,1
993706,-4.69,0.78,14.59,8,0.26,804,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.49,1.28,0.00,-9.38,1
993782,-5.47,0.78,14.59,8,0.26,804,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.38,1
993846,-4.69,0.78,14.59,8,0.26,805,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.52,1.26,0.00,-9.36,1
993924,-4.69,0.78,14.70,8,0.26,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.52,1.28,0.00,-9.36,1
993995,-4.69,0.78,14.59,8,0.26,814,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
994067,-4.69,0.78,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
994143,-4.69,0.78,14.70,8,0.26,821,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
994215,-4.69,0.78,14.70,8,0.26,813,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.52,1.28,0.00,-9.38,1
994289,-4.69,0.78,14.81,8,0.26,790,0.00,0.00,16,14.70,9.88,11.50,0.66,5.37,3.52,1.28,0.00,-9.36,1
994362,-4.69,0.78,14.81,8,0.27,794,0.00,0.00,16,14.70,9.88,11.00,0.66,5.37,3.56,1.26,0.00,-9.36,1
994434,-4.69,0.78,14.81,8,0.27,801,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.52,1.26,0.00,-9.36,1
994508,-4.69,0.78,14.81,8,0.26,802,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.52,1.28,0.00,-9.32,1
994576,-4.69,0.78,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.47,1.26,0.00,-9.36,1
994656,-4.69,0.78,14.81,8,0.26,820,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
994728,-4.69,0.78,14.70,8,0.26,819,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.49,1.26,0.00,-9.38,1
994800,-4.69,0.78,14.81,8,0.26,812,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
994868,-4.69,0.78,14.70,8,0.26,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.38,1
994948,-4.69,0.78,14.70,8,0.26,813,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.26,0.00,-9.36,1
995019,-4.69,0.78,14.70,8,0.26,814,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.26,0.00,-9.38,1
995094,-4.69,0.78,14.70,8,0.26,799,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.49,1.28,0.00,-9.36,1
995166,-4.69,0.78,14.70,8,0.26,808,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.36,1
995238,-4.69,0.78,14.70,8,0.26,813,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.47,1.26,0.00,-9.36,1
995314,-4.69,0.78,14.70,8,0.26,816,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.45,1.28,0.00,-9.38,1
995386,-4.69,0.78,14.81,8,0.26,797,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
995452,-4.69,0.78,14.59,8,0.26,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.24,0.00,-9.38,1
995526,-4.69,0.78,14.59,8,0.25,815,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
995614,-4.69,0.78,14.70,8,0.25,820,0.00,0.00,16,14.70,9.88,8.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
995678,-4.69,0.78,14.59,8,0.26,810,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.28,0.00,-9.36,1
995750,-4.69,0.78,14.70,8,0.26,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.38,1
995820,-4.69,0.78,14.70,8,0.26,810,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
995892,-4.69,0.78,14.70,8,0.25,811,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.28,0.00,-9.38,1
995964,-3.91,0.78,14.70,8,0.25,815,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.47,1.26,0.00,-9.36,1
996036,-4.69,0.78,14.81,8,0.25,824,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.24,0.00,-9.38,1
996116,-3.91,0.78,14.70,8,0.26,810,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.26,0.00,-9.38,1
996188,-3.91,0.78,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.49,1.28,0.00,-9.38,1
996260,-3.91,0.78,14.81,8,0.26,807,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.49,1.28,0.00,-9.36,1
996332,-4.69,0.00,14.81,8,0.25,815,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
996404,-3.91,0.00,14.70,8,0.25,804,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
996476,-4.69,0.00,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
996548,-3.91,0.00,14.81,8,0.25,808,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.26,0.00,-9.36,1
996630,-4.69,0.00,14.70,8,0.26,813,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.49,1.24,0.00,-9.38,1
996700,-3.91,0.00,14.70,8,0.26,805,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.47,1.26,0.00,-9.38,1
996772,-3.91,0.00,14.81,8,0.26,821,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.28,0.00,-9.38,1
996844,-3.91,0.00,14.81,8,0.26,813,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.38,1
996916,-3.91,0.00,14.81,8,0.25,817,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.47,1.26,0.00,-9.40,1
996988,-3.91,0.00,14.81,8,0.26,808,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
997064,-3.91,0.00,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.26,0.00,-9.40,1
997136,-3.91,0.00,14.81,8,0.26,806,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
997208,-3.91,0.00,14.81,8,0.25,811,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.47,1.24,0.00,-9.38,1
997283,-3.91,0.00,14.70,8,0.25,806,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.26,0.00,-9.36,1
997352,-3.91,0.00,14.81,8,0.25,812,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.45,1.28,0.00,-9.38,1
997429,-3.91,0.00,14.70,8,0.25,818,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.47,1.26,0.00,-9.38,1
997504,-3.91,0.00,14.70,8,0.26,820,0.00,0.00,16,14.70,9.88,8.50,0.66,5.37,3.49,1.26,0.00,-9.42,1
997576,-3.91,0.00,14.70,8,0.26,805,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.47,1.26,0.00,-9.40,1
997648,-3.91,0.00,14.70,8,0.26,808,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.49,1.28,0.00,-9.38,1
997720,-3.91,0.00,14.70,8,0.26,804,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.49,1.28,0.00,-9.38,1
997794,-3.91,0.00,14.81,8,0.25,811,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.24,0.00,-9.38,1
997866,-3.91,0.00,14.70,8,0.25,807,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.26,0.00,-9.38,1
997938,-3.91,0.00,14.81,8,0.25,813,0.00,0.00,16,14.70,9.88,9.00,0.66,5.37,3.45,1.28,0.00,-9.38,1
998010,-3.91,0.00,14.70,8,0.26,816,0.00,0.00,16,14.70,9.88,10.00,0.66,5.37,3.45,1.26,0.00,-9.38,1
998082,-3.91,0.00,14.81,8,0.26,811,0.00,0.00,16,14.70,9.88,9.50,0.66,5.37,3.45,1.24,0.00,-9.38,1
998161,-3.91,0.00,14.81,8,0.26,799,0.00,0.00,16,14.70,9.88,10.50,0.66,5.37,3.45,1.26,0.00,-9.38,1
